 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 10/05/2012   17:09:15
 ---------------------------------------------------------------------------------------------------------------------------------- 

17:09:15  |  Platform  |  Info  |  * Initialise: OgreRenderManager  |  ..\..\..\..\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreRenderManager.cpp  |  26
17:09:15  |  Platform  |  Info  |  OgreRenderManager successfully initialized  |  ..\..\..\..\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreRenderManager.cpp  |  54
17:09:15  |  Platform  |  Info  |  * Initialise: OgreDataManager  |  ..\..\..\..\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreDataManager.cpp  |  45
17:09:15  |  Platform  |  Info  |  OgreDataManager successfully initialized  |  ..\..\..\..\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreDataManager.cpp  |  49
17:09:15  |  Core  |  Info  |  * Initialise: Gui  |  ..\..\MyGUIEngine\src\MyGUI_Gui.cpp  |  82
17:09:15  |  Core  |  Info  |  * MyGUI version 3.0.1  |  ..\..\MyGUIEngine\src\MyGUI_Gui.cpp  |  86
17:09:15  |  Core  |  Info  |  * Initialise: ResourceManager  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  43
17:09:15  |  Core  |  Info  |  ResourceManager successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  51
17:09:15  |  Core  |  Info  |  * Initialise: LayerManager  |  ..\..\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  44
17:09:15  |  Core  |  Info  |  LayerManager successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  52
17:09:15  |  Core  |  Info  |  * Initialise: WidgetManager  |  ..\..\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  66
17:09:15  |  Core  |  Info  |  WidgetManager successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  105
17:09:15  |  Core  |  Info  |  * Initialise: InputManager  |  ..\..\MyGUIEngine\src\MyGUI_InputManager.cpp  |  41
17:09:15  |  Core  |  Info  |  InputManager successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_InputManager.cpp  |  58
17:09:15  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  ..\..\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  44
17:09:15  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  64
17:09:15  |  Core  |  Info  |  * Initialise: SkinManager  |  ..\..\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  46
17:09:15  |  Core  |  Info  |  SkinManager successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  54
